number_of_commits,commits_client_files,commits_import_library,code_churn,code_churn_client_files,imports,days_since_first_import,days_since_last_import,days_between_imports,avg_days_commits_client_files,avg_days_commits_import_library,projects,projects_import,Num_Answers,Num_Accepted_Answers,Num_Upvotes,Avg_Score_Per_Answer,Num_Questions,Num_First_Answers,Tag_Score,time_of_activity,rating
3158,218,,12694,10953,370,5006,1241,3765,15.83486239,,40,40,,,,,0,,0,,
1205,282,10,598248,519530,2119,2810,1885,925,10.37588652,292.6,27,27,,,,,0,,0,,
61,43,,10494,10241,76,4927,2436,2491,58.79069767,,7,7,3,3,24,8,0,2,24,0.003657407,
389,21,1,32032,19135,119,4999,466,4533,231.3333333,4858,7,7,1,1,15,15,0,1,15,,4
161,121,2,68622,62525,384,4433,329,4104,35.51239669,2148.5,15,16,,,,,0,,0,,5
218,159,6,105700,88992,901,3824,1401,2423,16.76100629,444.1666667,34,31,,,,,0,,0,,
1170,504,3,139696,106796,1385,2517,1772,745,5.428571429,912,58,58,,,,,0,,0,,
195,42,,1589,1147,68,4515,1770,2745,68.64285714,,6,6,,,,,0,,0,,
77,37,,1889,1201,86,4294,2651,1643,79.86486486,,7,6,1,1,1,1,3,0,6,,
99,87,,36661,16761,253,3116,159,2957,50.33333333,,10,10,,,,,0,,0,,
4,1,,360,13,1,2703,1763,940,1954,,1,1,,,,,0,,0,,
30,27,1,3477,3324,70,2735,2735,0,2.333333333,63,2,2,,,,,0,,0,,
12,10,,1172,1066,28,3547,2043,1504,122.9,,1,1,,,,,0,,0,,
518,249,12,696966,587328,2673,3266,979,2287,9.196787149,190.8333333,13,15,,,,,0,,0,,
11,10,,318,294,15,4332,4179,153,134.8,,1,1,,,,,0,,0,,
347,135,3,135359,127881,544,1668,59,1609,18.34814815,825.6666667,7,7,,,,,0,,0,,
761,193,,41619,22392,506,1106,27,1133,13.8238342,,16,15,,,,,0,,0,,4
101,73,,9147,7376,175,3435,1184,2251,43.79452055,,9,9,,,,,0,,0,,
94,66,,20800,17665,216,3324,356,2968,43.04545455,,8,9,,,,,0,,0,,
37,23,,2421,1262,52,3156,1369,1787,130.9130435,,9,8,,,,,0,,0,,
200,123,7,736222,308511,1058,3129,1494,1635,26.58536585,467.1428571,22,22,,,,,0,,0,,
18,12,,8574,6179,67,3347,1398,1949,282,,6,6,,,,,0,,0,,2
