number_of_commits,commits_client_files,commits_import_library,code_churn,code_churn_client_files,imports,days_since_first_import,days_since_last_import,days_between_imports,avg_days_commits_client_files,avg_days_commits_import_library,projects,projects_import,Num_Answers,Num_Accepted_Answers,Num_Upvotes,Avg_Score_Per_Answer,Num_Questions,Num_First_Answers,Tag_Score,time_of_activity,rating
3,,,12,,,5006,1241,3765,,,3,3,,,,,0,,0,,
16,7,8,409,312,18,2810,2706,104,52,45.5,2,2,2,0,0,0,0,1,0,0.937118056,
21,11,10,1886,984,19,4999,2137,2862,269.0909091,370,3,3,,,,,0,,0,,3
3,1,5,1325,766,7,2517,2517,0,115,23,1,1,,,,,0,,0,,
6,5,10,691,420,17,3116,159,2957,769.4,384.7,1,1,,,,,1,,3,,
63,42,66,15005,11089,104,3266,1260,2006,31.66666667,20.15151515,2,2,,,,,0,,0,,
17,8,18,5191,1186,19,3616,3177,439,54.875,24.38888889,2,2,,,,,0,,0,,
78,39,103,181202,13328,222,3435,2135,1300,30.1025641,11.39805825,7,4,,,,,0,,0,,
1,,,35,,,3324,356,2968,,,1,1,,,,,0,,0,,
24,17,48,6949,3381,72,3156,1766,1390,81.35294118,28.8125,6,6,,,,,0,,0,,
169,129,199,26227,11179,347,3129,2174,955,9.813953488,6.361809045,19,19,,,,,0,,0,,
5,4,2,27945,10397,21,3347,1398,1949,706,1412,3,3,1,0,0,0,0,1,0,,1
81,41,65,10365,5351,153,1836,1560,276,16.12195122,10.16923077,2,2,,,,,0,,0,,
4,3,21,983,707,23,3257,1143,2114,1026.333333,146.6190476,1,1,1,1,0,0,7,1,17,,
34,22,20,3549,2861,60,3942,3669,273,23.27272727,25.6,2,2,,,,,0,,0,,
12,1,1,3463,34,1,3334,1262,2072,2255,2255,2,2,,,,,0,,0,,
6,5,46,8547,2932,64,2084,1538,546,328.6,35.7173913,2,2,,,,,0,,0,,2
60,55,144,8675,7189,378,1978,1600,378,17.58181818,6.715277778,4,4,,,,,2,,4,,
57,24,11,10045,1402,41,5188,2396,2792,113.25,247.0909091,2,2,,,,,0,,0,,
4,2,1,105,60,2,3979,3686,293,201,402,1,1,,,,,0,,0,,
110,33,158,16528,10336,232,5026,2229,2797,89.60606061,18.71518987,10,8,,,,,0,,0,,
6,1,,60,40,1,,,,129,,1,1,,,,,0,,0,,
285,191,478,40523,27289,823,2664,1860,804,9.439790576,3.771966527,6,6,1,1,1,1,0,1,1,,
66,38,81,1220003,12036,199,3854,1118,2736,107.2631579,50.32098765,2,2,,,,,0,,0,,
7,,,13,,,4292,4292,0,,,1,1,,,,,0,,0,,0
31,11,15,1099,750,26,4808,1481,3327,131,102.9285714,3,3,,,,,0,,0,,
18,14,24,701,647,64,3309,2057,1252,171.8571429,100.25,8,9,,,,,0,,0,,
73,67,178,15100,13784,291,3223,1167,2056,31.19402985,11.74157303,5,5,,,,,0,,0,,
1,,,10,,,2893,2890,3,,,1,1,,,,,0,,0,,
8,,,42773,,,4162,3648,514,,,1,1,,,,,0,,0,,
8,3,2,516,411,4,3876,621,3255,745.3333333,1118,3,3,,,,,0,,0,,
6,3,16,2350,1025,37,1252,869,383,175,87.5,2,1,,,,,0,,0,,
1,,,36,,,1674,479,1195,,,1,1,,,,,0,,0,,
29,10,12,8677,1482,19,2862,1716,1146,78.1,65.08333333,2,2,6,2,1,0.166666667,0,2,1,333.277037,
4,4,,44,44,7,,,,239.5,,1,1,,,,,0,,0,,
6,2,20,1080,1004,21,2124,2124,0,0,0,1,1,,,,,0,,0,,
38,19,41,7458,5842,96,3364,1011,2353,156.0526316,72.31707317,2,2,1,0,7,7,0,0,7,,
210,161,661,67126,49627,1315,1449,68,1517,12.55279503,3.057488654,7,7,,,,,0,,0,,
3,3,1,90,90,3,4482,4482,0,112,336,1,1,,,,,0,,0,,
