number_of_commits,commits_client_files,commits_import_library,code_churn,code_churn_client_files,imports,days_since_first_import,days_since_last_import,days_between_imports,avg_days_commits_client_files,avg_days_commits_import_library,projects,projects_import,Num_Answers,Num_Accepted_Answers,Num_Upvotes,Avg_Score_Per_Answer,Num_Questions,Num_First_Answers,Tag_Score,time_of_activity,rating
552,31,,29158,24894,48,5006,1241,3765,93.70967742,,14,13,,,,,0,,0,,
6,1,,5336,21537,,4927,2289,2638,3260,,2,2,4,1,4,1,2,2,12,3263.821053,
175,44,6,124821,56187,238,4999,1511,3488,87.40909091,641,17,15,2,0,7,3.5,0,1,7,327.0328125,5
78,43,,219207,186662,514,4433,1345,3088,74.56097561,,19,12,,,,,0,,0,,4
49,4,,50830,20611,11,3657,1656,2001,360.75,,1,2,,,,,0,,0,,
8,5,,2211,389,6,2517,1970,547,154.6,,3,4,3,0,2,0.666666667,0,1,2,1282.58,
75,11,7,151085,9895,31,4515,501,4014,379.8181818,596.8571429,6,6,3,2,32,10.66666667,0,2,32,43.92741898,
166,135,190,93909,89688,566,3116,2889,227,13.24444444,9.410526316,7,6,,,,,0,,0,,
345,163,91,135399,76756,422,2703,1763,940,15.96319018,28.59340659,17,15,,,,,0,,0,,
1,1,8,28576,1797,33,2735,1902,833,914,114.25,1,1,,,,,0,,0,,
35,16,29,24219,6413,64,3547,1167,2380,204.25,112.6896552,14,14,,,,,0,,0,,
38,6,,2193,894,12,4332,2410,1922,437.1666667,,2,1,,,,,0,,0,,
6,6,,7712,390,9,1106,458,648,341,,1,2,,,,,0,,0,,2
55,40,2,8234,1078,51,3616,2481,1135,29.55,591,3,3,,,,,0,,0,,
66,37,18,83101,18093,149,3435,1184,2251,67.51351351,138.7777778,9,8,,,,,2,,1,,
43,26,,27520,7841,44,3324,356,2968,120.2692308,,12,10,,,,,0,,0,,
9,4,,35501,19348,85,3156,2451,705,174.5,,3,3,,,,,0,,0,,
24,12,,34693,399432,18,3129,2382,747,82.25,,1,1,,,,,0,,0,,
72,27,7,583496,483187,290,3347,1398,1949,157.037037,605.7142857,6,6,1,0,0,0,0,1,0,,3
107,79,5,19088,14672,199,3378,2395,983,28.78481013,454.8,8,8,1,0,0,0,0,0,0,,
84,51,57,30547,7959,222,1836,545,1291,28.03921569,25.0877193,3,3,1,0,0,0,0,1,0,,
