number_of_commits,commits_client_files,commits_import_library,code_churn,code_churn_client_files,imports,days_since_first_import,days_since_last_import,days_between_imports,avg_days_commits_client_files,avg_days_commits_import_library,projects,projects_import,Num_Answers,Num_Accepted_Answers,Num_Upvotes,Avg_Score_Per_Answer,Num_Questions,Num_First_Answers,Tag_Score,time_of_activity,rating
622,347,343,45697,18684,719,5006,1241,3765,10.50720461,10.62973761,57,58,4,2,8,2,0,3,8,1266.947662,
1,,,4,,,,,,,,1,,,,,,0,,0,,
302,117,153,945067,7072,306,4927,26,4953,42.34188034,32.37908497,29,29,9,2,10,1.111111111,1,4,11,607.2454051,
119,8,14,12400,1446,33,4999,466,4533,578.875,330.7857143,4,5,2,0,13,6.5,0,0,13,1343.927523,4
590,291,458,131838,32049,908,4433,329,4104,14.04810997,8.925764192,33,39,,,,,0,,0,,4
68,31,40,30083,2201,68,3824,1656,2168,61.35483871,47.55,9,11,,,,,0,,0,,
1469,705,420,396266,36945,1052,4515,1161,3354,4.981560284,8.361904762,116,116,24,7,44,1.833333333,4,13,54,1249.190208,
343,62,12,1643,1615,101,4294,2651,1643,26.14516129,135.0833333,8,9,,,,,3,,48,,
130,101,83,18113,14803,244,3116,159,2957,41.00990099,49.90361446,8,9,,,,,0,,0,,
2,2,,4,4,2,,,,886,,1,1,,,,,0,,0,,
65,58,19,4416,3146,84,2735,10,2745,48.72413793,148.7368421,3,3,,,,,0,,0,,
143,75,162,17378,11482,336,3547,1708,1839,36.36,17.48076923,26,25,,,,,0,,0,,
15,7,4,447,352,9,3266,1260,2006,211.7142857,741,4,4,,,,,0,,0,,
135,91,122,16023,5934,236,4332,2410,1922,33.50549451,24.99180328,8,9,,,,,0,,0,,
196,144,114,27073,8369,268,1106,27,1133,18.33333333,23.15789474,10,8,,,,,0,,0,,4
6,4,2,2167,273,6,3435,2135,1300,453.5,907,1,3,,,,,0,,0,,
2368,326,292,51212,20832,779,3324,68,3392,12.18711656,13.60616438,42,42,2,1,0,0,1,1,0,2297.883148,
1326,62,87,13202,5150,161,3156,1369,1787,28.80645161,20.52873563,21,22,,,,,0,,0,,
6,3,10,602,534,12,3129,1494,1635,648.6666667,194.6,2,2,,,,,0,,0,,
105,78,97,5987,3159,180,3347,1822,1525,30.76923077,24.74226804,10,10,,,,,0,,0,,3
20,13,15,393,300,30,3378,2233,1145,187.3846154,162.4,4,5,,,,,0,,0,,
349,217,376,591779,24715,858,3257,833,2424,16.58986175,9.574468085,26,27,,,,,0,,0,,
33,17,41,49299,5077,53,4740,3604,1136,66.82352941,27.70731707,7,8,,,,,0,,0,,4
16,10,8,942,602,21,3942,3061,881,110.8,138.5,1,1,,,,,0,,0,,
55,25,19,40012,1769,48,3334,1345,1989,89.56,117.8421053,9,8,,,,,0,,0,,
104,74,51,8896,2279,155,4463,445,4018,54.43243243,78.98039216,8,10,4,1,4,1,0,1,4,182.1123495,
83,3,1,37482,244,3,3579,3579,0,217,651,1,1,,,,,0,,0,,
26,12,14,2153,537,20,1978,1861,117,78.83333333,67.57142857,2,2,13,1,10,0.769230769,3,0,5,1840.074259,
1443,380,434,148480,111583,903,4526,995,3531,8.963157895,7.847926267,48,50,18,2,181,10.05555556,2,3,240,1927.039375,
2490,758,1033,377988,105178,2279,5188,2230,2958,6.212401055,4.55856728,78,82,2,1,8,4,0,1,8,1016.668704,
87,42,68,22624,16640,127,4422,2486,1936,46.38095238,28.64705882,7,10,,,,,0,,0,,
131,55,62,19079,3110,114,3979,1434,2545,48.25454545,42.80645161,10,11,,,,,0,,0,,
105,73,248,407914,26468,369,5026,1634,3392,48.65753425,14.3805668,19,22,,,,,0,,0,,
5,2,9,3041,1559,14,2099,6,2093,1709,379.7777778,2,1,,,,,1,,3,,
4,2,1,200,177,2,1715,1715,0,317,634,1,1,,,,,0,,0,,
33,27,108,12276,10754,167,1749,683,1066,38.96296296,9.740740741,2,2,,,,,0,,0,,
75,58,114,47304,15215,210,3854,1118,2736,56.94827586,28.97368421,15,14,81,46,293,3.617283951,0,63,293,1589.266528,
97,48,44,35042,3400,87,4292,1359,2933,65.6875,71.65909091,10,9,3,0,16,5.333333333,1,0,35,3448.813333,4
721,159,232,106026,12585,402,4808,1075,3733,23.47798742,16.09051724,29,29,,,,,0,,0,,
31,13,16,4954,3748,38,3702,3680,22,39.76923077,32.3125,11,10,,,,,0,,0,,
32,16,6,3814,2102,21,4641,1967,2674,193.4375,515.8333333,2,2,6,1,26,4.333333333,0,2,26,1623.273843,
16,10,8,56394,435,14,3309,3232,77,121.8,152.25,1,1,,,,,0,,0,,
1,1,,1,1,1,,,,3251,,1,1,,,,,0,,0,,
23,20,7,920,415,27,2020,2018,2,139.45,398.4285714,1,1,10,3,239,23.9,0,5,239,1881.211065,
41,15,10,2036,680,24,4218,826,3392,226.1333333,339.2,5,5,,,,,0,,0,,
15,10,2,1119,273,92,2893,2890,3,398.7,1993.5,3,3,,,,,0,,0,,
2,,,6,,,,,,,,1,1,,,,,0,,0,,
110,54,37,4100,2278,106,4162,1928,2234,45.27777778,66.08108108,10,10,,,,,0,,0,,
891,452,335,49132,35130,811,3876,310,3566,7.654867257,10.32835821,33,34,,,,,0,,0,,
7,5,5,565,233,11,4215,2172,2043,662.8,662.8,1,2,,,,,0,,0,,
6,4,1,324,170,4,2456,2397,59,118.75,475,1,1,,,,,0,,0,,
55,21,14,4151,3367,31,3106,1513,1593,59.52380952,89.28571429,3,3,,,,,0,,0,,
10,8,20,3155,2863,39,2662,1833,829,175.875,70.35,3,4,,,,,0,,0,,
48,32,25,26008,3558,62,3349,210,3139,50.21875,64.28,2,3,1,1,7,7,0,1,7,,
152,118,100,7522,6678,264,4305,630,3675,44.70338983,52.75,16,16,,,,,0,,0,,
16,12,14,2631,910,20,4032,1893,2139,306.1666667,262.4285714,3,3,33,20,43,1.303030303,4,28,48,3190.209178,
2,2,4,195,183,5,1674,52,1726,1512,756,2,2,,,,,0,,0,,
141,119,192,18011,9288,371,2862,1716,1146,5.462184874,3.385416667,7,6,121,51,211,1.743801653,5,78,220,659.5885532,
80,32,11,2890,730,36,3825,2525,1300,34.19354839,106,3,3,,,,,0,,0,,
6,4,3,232,182,4,2438,2235,203,403.5,538,2,2,,,,,0,,0,,
12,3,2,130,48,4,2386,2386,0,387.6666667,581.5,1,1,1,1,1,1,0,1,1,,
103,38,33,105123,2162,69,3364,1011,2353,79.05263158,91.03030303,10,10,10,1,18,1.8,5,3,35,3022.182708,
2474,602,437,52562,30801,1238,5019,1896,3123,4.563122924,6.28604119,61,62,,,,,0,,0,,
77,64,82,12884,11862,260,3366,535,2831,63,49.17073171,11,11,16,10,29,1.8125,1,5,30,3103.125741,
151,111,133,76384,10922,286,4795,1100,3695,24.88288288,20.76691729,18,17,,,,,0,,0,,
2,2,11,510,772,11,1624,493,1131,726,132,1,1,16,4,300,18.75,7,5,388,1552.3475,
465,23,72,22990,20985,130,1450,89,1361,50.08695652,16,9,8,186,42,149,0.801075269,1,60,149,3806.477998,
