number_of_commits,commits_client_files,commits_import_library,code_churn,code_churn_client_files,imports,days_since_first_import,days_since_last_import,days_between_imports,avg_days_commits_client_files,avg_days_commits_import_library,projects,projects_import,Num_Answers,Num_Accepted_Answers,Num_Upvotes,Avg_Score_Per_Answer,Num_Questions,Num_First_Answers,Tag_Score,time_of_activity,rating
10,6,,253,128,8,5006,1241,3765,312.5,,6,6,,,,,0,,0,,
17,11,,945,399,16,2810,2070,740,44.45454545,,1,1,,,,,0,,0,,
2,2,,4320,1857,58,4927,4370,557,279.5,,1,1,,,,,0,,0,,
134,97,,22459,4174,310,4999,1511,3488,42.81443299,,15,16,5,0,16,3.2,0,0,16,1875.037639,4
59,43,,9008,1239,74,4515,2203,2312,57.95348837,,10,10,,,,,0,,0,,
383,18,,502,326,20,4294,2651,1643,56.05882353,,6,6,,,,,0,,0,,
1,1,,2,2,1,3116,2889,227,2240,,1,1,,,,,0,,0,,
590,168,,82941,9028,383,,,,10.61904762,,10,12,2,0,5,2.5,0,1,5,0.817789352,
4,3,,2858,959,50,,,,0.333333333,,2,2,,,,,0,,0,,
5,,,60,,,3547,1167,2380,,,3,3,,,,,0,,0,,
15,10,1,33442,12237,305,3266,2801,465,48,480,2,2,,,,,0,,0,,
124,75,,210546,8723,486,3435,2135,1300,20.52,,6,7,,,,,0,,0,,
101,82,,10522,3812,142,3324,356,2968,42.29268293,,5,6,,,,,0,,0,,
15,12,,3974,1992,110,3129,1675,1454,161.4166667,,4,4,,,,,0,,0,,
302,33,,4504,2032,79,3347,2578,769,56.42424242,,13,13,,,,,0,,0,,1
36,25,,3571,1727,95,3378,2233,1145,120.44,,7,7,2,0,3,1.5,0,2,3,1047.13235,
1,,,2,,,3257,2673,584,,,1,1,1,1,1,1,0,1,1,,
26,,,1590,,,3942,3061,881,,,1,1,,,,,0,,0,,
37,34,,20590,6720,282,3334,2955,379,20.35294118,,6,9,,,,,0,,0,,
2,1,,14,6,2,4526,2221,2305,1478,,2,2,1,0,6,6,0,0,6,,
73,48,,10597,4780,209,5188,4075,1113,20.95833333,,2,2,,,,,0,,0,,
408,81,,16201,8366,307,,,,55.18518519,,11,11,2,0,-1,-0.5,0,1,-1,29.86930556,
123,73,,80482,7255,430,3979,707,3272,46.31506849,,9,6,1,1,2,2,0,0,2,,
6,,,393,,,5026,3499,1527,,,2,1,,,,,0,,0,,
239,184,,22552,14085,853,,,,1.472826087,,6,6,,,,,0,,0,,
1,1,,129,51,3,,,,218,,1,1,,,,,0,,0,,
24,12,,5742,1762,84,4292,1363,2929,192.5833333,,8,8,,,,,0,,0,,1
17,5,,138,52,6,3690,3690,0,11.8,,4,3,,,,,0,,0,,
38,17,,13633,1342,91,3309,3309,0,70.41176471,,2,2,,,,,1,,3,,
72,34,,52155,17771,190,4215,4215,0,83.34782609,,4,4,,,,,0,,0,,
9,6,,1166,436,41,2456,2450,6,72.16666667,,1,1,,,,,0,,0,,
192,37,,6399,3943,182,,,,13.2972973,,6,6,,,,,2,,1,,
218,155,,11539,9087,416,4305,1506,2799,29.43870968,,18,19,,,,,0,,0,,
11,8,,289,209,8,,,,119.75,,2,2,,,,,0,,0,,
3,1,,69,10,1,4032,4032,0,1355,,2,2,15,15,55,3.666666667,0,0,55,866.9774537,
93,56,,5211,2618,95,2862,1716,1146,12.91071429,,2,3,5,2,2,0.4,1,4,2,631.118206,
313,71,,48997,34627,228,3825,2525,1300,23.97183099,,7,7,,,,,0,,0,,
1,1,,10,9,1,,,,889,,1,1,,,,,0,,0,,
14,6,,906,403,7,2438,2138,300,449.6666667,,2,2,,,,,0,,0,,
10,5,,288,114,5,,,,60,,1,1,,,,,0,,0,,
47,21,,2034,1472,52,4795,1100,3695,186.8095238,,4,3,,,,,0,,0,,
15,8,,490,404,12,4482,3921,561,184.75,,1,1,,,,,0,,0,,
5,2,,191,125,4,3659,3474,185,234.5,,1,1,,,,,0,,0,,
348,23,,327,269,26,4151,757,3394,162.8695652,,5,5,,,,,0,,0,,
5,2,,163,25,2,5001,42,5043,2492,,1,1,,,,,0,,0,,
333,3,,3274,1555,113,2284,2042,242,577.3333333,,1,2,,,,,0,,0,,
4,4,,180,70,7,,,,72,,1,1,,,,,0,,0,,
1909,486,,855378,22720,1055,3855,1008,2847,8.942386831,,40,40,8,3,24,3,0,5,24,1217.824433,
1,1,,5825,3352,37,3567,3567,0,228,,1,1,,,,,0,,0,,
181,126,,13074,10545,266,1939,1700,239,28.68253968,,10,11,1,0,1,1,0,0,1,,
59,32,,14717,9314,327,,,,6.96875,,7,7,1,0,0,0,1,1,0,,2
3,,,23,,,4131,4131,0,,,1,1,,,,,0,,0,,
7,4,,144,95,5,4898,819,4079,477.5,,3,3,6,0,5,0.833333333,2,0,8,1541.647465,
93,85,,978,881,131,3502,3502,0,12.16470588,,4,4,,,,,0,,0,,
2,,,414,,,,,,,,1,1,,,,,0,,0,,
42,16,1,18387,8008,159,4123,2784,1339,108.125,1730,5,6,,,,,0,,0,,
1,,,1,,,3303,75,3228,,,1,1,,,,,0,,0,,
131,,,,,,2645,1245,1400,,,1,1,,,,,0,,0,,
76,43,,4188,1471,82,727,566,161,80.48837209,,8,7,24,8,94,3.916666667,4,10,102,3768.777697,
1,,,6,,,5617,1635,3982,,,1,1,,,,,0,,0,,
36,5,,1056,50,10,3665,3665,0,541.6,,8,8,,,,,0,,0,,
788,150,,50101,17797,900,3988,3591,397,6.52,,22,24,,,,,0,,0,,
1,,,11,,,,,,,,1,1,17,10,45,2.647058824,0,15,45,968.0391898,
2,2,,247,157,5,2649,1858,791,632,,1,1,,,,,0,,0,,
1420,284,,573768,12983,612,4755,365,4390,17.24295775,,23,22,3,0,1,0.333333333,1,2,3,5143.106944,
33,16,,2433,775,47,2709,2688,21,150.0625,,6,5,,,,,0,,0,,
22,11,,6775,2104,112,,,,203.6363636,,5,5,,,,,0,,0,,
29,14,,968,553,47,2409,2409,0,204.5,,3,3,6,2,23,3.833333333,2,2,72,1135.205625,
1364,69,,69829,36910,452,,,,18.34782609,,10,12,,,,,0,,0,,
1266,319,,39174,18321,854,,,,14.38871473,,25,25,2,0,6,3,3,0,22,-43.11020833,
760,106,,35112,5289,170,3933,1553,2380,41.74528302,,33,31,,,,,0,,0,,
